Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Price,
5.682861322,7.009188143,4.09,1059033.558,
6.002899808,6.730821019,3.09,1505890.915,
5.86588984,8.51272743,5.13,1058987.988,
7.188236095,5.586728665,3.26,1260616.807,
5.040554523,7.839387785,4.23,630943.4893,
4.988407758,6.104512439,4.04,1068138.074,
6.025335907,8.147759585,3.41,1502055.817,
6.989779748,6.620477995,2.42,1573936.564,
5.36212557,6.393120981,2.3,798869.5328,
4.42367179,8.167688003,6.1,1545154.813,
8.093512681,5.0427468,4.1,1707045.722,
4.496512793,7.467627404,4.49,663732.3969,
7.671755373,7.250029317,3.1,1042814.098,
6.919534825,5.993187901,2.27,1291331.518,
5.344776177,8.406417715,4.37,1402818.21,
5.443156467,8.517512711,4.01,1306674.66,
5.067889591,8.219771123,3.12,1556786.6,
4.788550242,5.097009554,4.3,528485.2467,
5.94716514,7.187773835,5.12,1019425.937,
5.739410844,7.091808104,5.49,1030591.429,
6.62745694,8.011897853,4.07,2146925.34,
5.551221592,6.517175038,2.1,929247.5995,
4.21032287,5.478087731,4.31,718887.2315,
6.170484091,7.150536572,6.34,743999.8192,
5.339339881,7.748681606,4.23,895737.1334,
8.287562194,7.312879971,4.33,1453974.506,
4.018524685,6.992698757,2.03,1125692.507,
5.44335959,6.988753539,4,975429.4928,
6.384358921,4.242191302,3.04,1240763.766,
6.97782794,8.273697078,4.07,1577017.76,
5.314460215,6.686686133,3.24,1246830.188,
6.1243421,6.290820167,4.42,1170720.894,
7.127128553,8.591923294,5.36,1071279.21,
6.118808131,7.333554072,6.29,534305.1323,
5.419562911,9.289854372,6,936368.9634,
5.500128573,6.593045604,2.07,1199193.831,
5.470652207,7.780836693,4.1,1233220.009,
5.652783637,6.756453856,3.01,1081150.125,
5.180664125,5.426902859,2.39,524712.7661,
4.949557006,6.713905445,2.5,302355.836,
6.579691453,5.034525352,2.17,1026817.4,
7.845215914,7.555660721,6.3,1762214.68,
6.623332829,7.60683155,4.43,882057.1706,
6.90708297,7.634318731,4.44,1744932.211,
5.499309697,7.440505218,6.32,1153871.47,
7.069512154,7.204639709,3.18,1499988.88,
4.863154306,7.537182365,6.35,1109588.38,
7.296224497,5.928223473,3.22,980177.3051,
6.238891015,6.919204136,2.13,1323952.027,
6.604439819,6.252454805,4.02,1662494.736,
6.382452912,7.252665322,6.36,1417819.74,
5.825920476,5.831738973,3.32,549976.1456,
6.108449991,6.30611635,4.12,1054770.981,
5.92390639,6.445456691,3.32,1415647.553,
4.786222295,7.31988553,6.41,948788.2757,
5.949839471,8.022469239,4.09,1159596.519,
8.314761979,7.42559746,3.24,1547133.396,
6.116111748,7.18252748,5.08,1186688.506,
7.186120667,5.096917456,4.01,772111.9721,
6.309271353,5.219754029,3.06,1172730.156,
4.476429066,6.91174261,2.28,1111085.017,
7.533380986,5.731824125,4.23,1022781.171,
5.635466738,7.325973781,4.2,1274474.546,
6.394107667,4.580839921,4.32,1213530.85,
6.018590243,7.007676166,5.43,1411730.477,
5.435415183,6.515149877,3.13,858685.5659,
5.476513158,6.717844306,3.28,1200961.821,
6.67935313,5.919230725,4,1520234.229,
7.12207185,7.078583745,6.36,1360908.32,
5.419012564,6.261535284,4.12,1360920.53,
4.764499308,7.168662411,3.27,1146532.455,
7.385134534,6.898846569,3.08,1789098.521,
5.118108905,6.561520216,3.17,852099.464,
5.691129213,7.021252354,3.15,746096.7289,
5.786780024,7.327325343,6.25,1534479.907,
5.28232502,6.766444664,3.27,1215608.531,
5.653120316,6.594592279,3.43,941594.3284,
4.010907337,8.290419813,4.38,1204598.037,
7.605511954,7.070409541,3.28,1597655.258,
6.954422126,8.516160048,6.16,1492011.496,
8.562610576,7.276308629,4.28,1421216.504,
4.725552228,6.704201604,4.11,1132522.901,
4.182828228,5.963031884,4.1,1102821.438,
5.436306202,7.100753432,6.24,1856211.35,
6.184965339,7.863127437,3.35,1687998.933,
5.677637527,6.971331701,4.48,1063423.007,
6.445742898,6.937127028,3.2,1177289.886,
4.639654131,5.521489299,3.07,1173474.379,
7.879751801,4.500165348,3.39,1637259.999,
5.251400747,7.658576339,4.04,1238938.291,
4.844972531,5.44895603,3.38,201898.0866,
6.39862599,8.258634923,6.06,1439506.102,
4.443728924,5.809147306,3.3,585608.6326,
7.512526779,6.640032004,3.46,1294685.159,
6.595060685,6.850361008,3.33,2014851.344,
6.372730932,6.578352074,4.33,1840236.006,
6.374930066,6.736974131,4.41,1441421.913,
6.933352468,7.834099801,4.48,1498640.551,
6.512270085,6.31648002,2.38,954746.5764,
6.982151725,6.038487979,2.37,1124635.932,
5.347447091,7.173425885,3.45,1169944.248,
5.544083726,6.001261362,2.02,1114430.953,
8.069721867,6.506374302,4.37,1783534.839,
6.471673727,7.064811136,3.22,1302933.248,
6.893260157,6.734045416,4.41,1241483.612,
5.503923196,5.897052836,2.14,954114.544,
5.465393231,7.531143012,3.24,1555320.5,
4.869306181,4.414380866,2.23,404976.3659,
5.562938814,6.159705222,2.44,1073183.76,
5.47573732,6.291600796,2.29,1422195.879,
4.822147136,5.855972309,3.2,340605.2113,
5.973219004,7.754357545,6.32,1170959.526,
6.882954326,6.417572622,4.19,942838.1647,
7.17012853,7.984335122,4.11,1401613.92,
5.384841407,8.776160034,3.41,1175504.486,
4.855968121,5.580905937,2.3,608794.2467,
6.496651466,7.322709774,5.13,946943.0362,
7.005505785,7.135063347,6.04,1819900.637,
7.315957927,6.611096005,2.17,1463130.273,
4.972306568,7.916386397,5.49,1252391.18,
7.193792989,7.760732555,5.28,1714445.175,
4.096517243,7.254217433,3.18,1291759.393,
6.832939699,7.738295553,6.32,1809154.289,
7.411486571,5.164865476,2.3,1200539.361,
6.623528293,7.91617166,5.1,1300265.21,
4.318869133,6.634954066,4.37,997448.7281,
6.743652961,9.468766369,3.46,2152959.409,
7.163640935,8.485778263,5.45,1629983.847,
4.494570528,4.725325117,3.1,497579.4466,
5.329798509,5.894411949,4.36,890112.5493,
5.003327764,5.661064127,2.05,1064685.699,
6.787648529,7.871352644,6.39,1530124.016,
8.137214471,5.650900286,4.36,1246246.828,
6.070115922,5.381038359,4.45,1240754.932,
8.074693668,6.761631408,4.22,1760734.69,
5.534627544,7.210123361,6.44,1393746.76,
4.104129923,8.920333221,4.35,1172385.898,
5.083861036,6.262825884,4.07,483986.109,
7.080219326,7.187432975,3.37,1388530.157,
6.39244379,8.425112895,6.2,1721739.384,
5.994062799,7.204368895,6.19,1276448.792,
6.774710809,6.690894899,2.49,1161742.677,
6.350672042,5.305000412,2.04,786407.9451,
6.414723236,8.492901229,4.46,1604920.973,
6.890508224,7.788267986,5.13,1230149.137,
6.445851907,6.675937268,4.32,1051644.554,
6.142591681,7.811724471,5.15,1415073.614,
5.403175673,5.671136343,3.21,1043483.915,
4.740683035,8.320351986,6.45,1544379.748,
5.405265969,6.91419577,3.22,1352135.967,
7.042354995,8.097044285,3.44,1505727.431,
6.188575726,8.076943604,4.2,1416965.979,
5.506473429,6.774986419,4.33,1046721.976,
5.623087016,6.818670754,2.18,939040.0036,
6.087360169,7.481321112,3.26,1383031.332,
4.566166101,6.669888411,3.49,1072503.238,
6.487943167,7.3313301,6.26,1134397.758,
5.10693512,5.385339778,4.14,734827.508,
5.775467041,6.952026674,4.27,991892.3175,
4.289916281,7.418750603,5.04,1057252.583,
7.133719417,7.173698882,4.06,1237224.859,
6.139115452,8.199615241,4.41,1442632.541,
6.453073406,7.748248953,4.46,1877402.32,
6.640915863,7.311912321,6.4,1394518.415,
5.707903109,5.240300887,3.25,953939.3299,
7.107767687,7.088992691,5.33,1219778.034,
4.983084629,8.877240042,3,1287325.382,
6.970854746,5.935909326,2.47,1739893.555,
6.962206716,6.69735801,3.07,1213382.223,
7.572350215,4.652717554,3.31,1007478.748,
6.849769937,7.610720856,3.22,1528756.126,
6.767363237,6.703917223,2.05,1182459.772,
6.847724976,7.777279444,3.14,1474546.762,
7.603999923,7.04524851,4.18,1078016.94,
5.468158427,5.475252653,3.14,1453381.624,
5.47980183,6.476007341,4.41,1495012.965,
4.580122446,6.668979774,4.04,714148.4148,
4.885131771,5.57471435,3.18,894292.0474,
5.985697151,5.681833507,3.2,1159841.831,
6.766877154,7.213659075,5.07,1195986.299,
6.593962539,9.180401429,6.11,1381430.63,
7.414875231,6.733084867,2,1534889.853,
6.942797867,6.147907596,3.17,1494125.33,
6.863184039,8.517401059,5.3,1356146.261,
5.901451656,5.767366136,4.26,1454943.074,
4.940396705,5.636779395,2.31,774118.1878,
3.69089057,4.788380207,3.48,889113.2389,
4.860453,6.916808181,3.29,1211102.211,
5.694610808,7.429639244,3.11,658646.1847,
5.804686752,7.805903702,3.36,1400104.871,
7.218309145,6.020201205,4,1262017.792,
4.632267718,6.194794325,2.15,553077.2126,
6.061212241,7.259286709,3.08,1203247.89,
6.155259764,7.831766476,6.18,1115323.015,
7.59753322,7.090050637,5.25,1301881.417,
6.279753854,5.521216371,4.47,1006687.387,
5.440725043,7.235191288,5.21,749383.0726,
5.234044768,6.290305888,4.15,1075596.587,
5.333820712,6.624951289,4.37,739870.7936,
7.482630242,8.003006746,3.49,1442945.145,
7.01058346,6.356258719,3.14,828497.0671,
6.075426018,7.879588245,6.37,1373290.861,
4.901817799,6.396268006,3.18,925566.3313,
7.741091334,7.636653827,6.49,1552536.764,
5.773717163,6.68823017,2.04,1335904.501,
5.665185385,6.375371505,3.28,960808.2911,
6.710699576,7.166501646,6.28,1405933.019,
6.386347996,6.144038119,3.04,619087.6936,
7.032317226,6.888205629,2.09,1329273.228,
5.02469487,4.936329009,3.44,1261843.844,
5.832827571,6.029160867,4.29,1175781.418,
4.930051,6.183440077,3.01,1437053.557,
5.867269778,8.197289421,6.21,1594415.226,
6.407946258,5.370386614,2.07,931357.9954,
6.881778623,6.566175293,3.14,798639.6542,
5.601486668,5.905024344,2.08,1451739.625,
6.001641691,7.293476754,5.33,1278991.689,
6.279536891,7.325379539,4.24,885920.5532,
6.861548028,6.923618932,4.33,1425632.542,
5.857266082,6.94910892,3.06,901881.7427,
6.173290661,9.054709888,5.25,1521730.791,
5.70765003,5.929733805,2.4,716771.0057,
7.912276047,8.437966416,5.37,1696717.107,
6.635899749,6.851535828,2.49,819598.0078,
5.59893322,8.522538378,3.49,1584213.957,
8.07544792,5.678555483,4.44,798892.515,
4.188658329,8.942797164,5.12,601973.0017,
4.524140652,9.524973612,4.28,1456486.293,
5.550264729,6.844150153,2.17,1702406.039,
5.184810712,7.94387972,6.3,1566471.008,
6.453931678,7.737095684,4.02,1592210.176,
6.017831001,5.790005274,4.21,937628.3467,
6.873130198,6.294054951,3.45,1558547.578,
5.907565592,6.964616002,2.29,1156329.274,
7.077680826,7.833081192,3.35,1514349.692,
5.222168522,7.163517523,5.25,1039107.326,
5.165921529,5.355113624,2.32,809089.6719,
5.779976246,5.501755138,3.23,675536.3915,
4.660417824,9.710216896,5.02,1373589.804,
6.768523696,8.204552838,4.3,1690091.019,
6.519463053,7.114083652,5.38,1253370.149,
6.891731041,5.736029404,2.03,774073.5619,
5.20196372,7.719652764,6.37,1741959.834,
7.421738946,6.828247305,2.09,1705762.788,
6.21484263,6.060884656,2.34,1071109.917,
5.260974726,6.936548024,4.49,1118047.991,
5.39681918,7.648386114,6.08,1165253.033,
6.152109975,6.765832563,2.31,1280910.19,
5.787890692,5.687062576,2.02,841122.8824,
5.928483443,7.057757992,4.19,1228810.745,
6.209803037,8.051118256,5.28,1086072.071,
5.316933287,6.768229399,3.33,1204372.295,
6.158043453,6.361238405,3.35,1345004.12,
5.755609227,7.162322376,3.32,1116902.345,
5.13081313,7.015317326,3.12,822431.7303,
6.38632518,8.365074594,4.47,1360623.694,
6.536045428,7.373850919,3.01,2298379.487,
6.67234006,7.883780977,3.41,1400498.268,
5.44538285,6.032795265,2.04,566848.7321,
5.570561937,7.541807496,5.08,1367586.278,
6.998928282,7.088385883,5.13,1113373.52,
5.209923093,6.275371125,3.42,721974.5515,
5.138651815,6.325363471,4.25,685503.9903,
4.902939589,7.6171181,5.07,152071.8747,
7.297532823,7.002864274,5.38,1280431.574,
5.405444821,7.207172822,6.35,568703.1838,
6.283122836,8.933119985,6,1200764.844,
6.740676312,7.552269769,6.15,1607161.637,
4.504274579,7.234479887,5.45,1421715.415,
4.210462758,4.954387464,2.03,311111.2006,
7.841080502,7.472966963,4.19,1338044.383,
6.685810937,6.16923837,3.43,1417870.983,
4.375933244,8.259044318,3.4,796389.438,
7.188208135,5.336841156,3.44,1310207.133,
7.143558507,5.579766055,4.3,994897.7278,
7.230364893,7.265462684,5.46,1202987.829,
5.551957132,5.648555397,3.08,768751.9005,
7.893834161,6.036621215,2.27,1211655.305,
6.033157792,6.633757595,4.21,1540418.222,
4.675940133,5.428846667,3.23,712228.4243,
6.789870886,6.630909086,3.17,1525533.407,
7.156294433,5.518835024,2.04,1034218.402,
4.662980906,6.333616932,2.04,874103.6606,
6.446181952,8.274063584,4.19,1912825.285,
6.725721311,7.887775836,4.31,1754770.59,
6.54096795,6.876150329,4.23,1340066.913,
5.777106148,5.783612779,3.11,1446756.863,
6.818759161,7.570447111,5.48,1592768.242,
4.122901533,7.641107312,6.08,660364.9813,
5.159300978,6.332626733,2.46,861321.5807,
6.56237959,8.184510518,6.35,1648246.774,
5.538042849,6.952195766,2.04,977135.8857,
7.647150882,9.086807717,3.21,1591934.19,
4.308730208,5.564352875,4.12,695386.331,
5.408899965,4.807387458,2.26,568977.0728,
4.595920956,7.201635799,5.13,935590.8043,
3.992027946,8.960742515,5.2,984311.7745,
5.933498536,6.868603895,2.3,1796245.808,
5.084714868,5.186852796,4.07,720080.2321,
5.636892091,5.807401479,4.03,783808.4025,
6.690551405,8.297556745,3.16,1598615.974,
6.599434697,7.979877824,5.11,1564125.238,
6.986763275,7.285434147,3.46,929480.6299,
4.789357418,8.965705366,6.22,1414495.343,
6.29111354,7.482571479,6.08,837668.1026,
7.218330987,6.249192235,4.02,1197515.454,
6.729520552,7.058764828,4.26,1232004.83,
6.500094306,7.316551003,4.36,1285933.408,
6.392834115,7.698007536,4.41,1361521.983,
5.958735587,5.652694477,2.21,1090826.374,
6.287836931,7.447318296,3.37,1475319.699,
7.009045648,5.464338971,4.22,1066659.383,
6.069486987,8.018121333,3.43,1117432.98,
6.80962742,6.829667441,2.29,1420283.559,
7.590878456,6.891969493,3.24,840272.8649,
6.014814127,4.651974294,2.46,1024907.94,
7.751794757,9.02450267,5.12,1494241.226,
5.706260589,6.650904529,4.37,1125880.487,
4.806617647,7.879677057,4.28,1082455.018,
